genotype,concentration,length
Ber-0,1.4,6.84
Br-0,1.4,NA
Rsch-0,1.4,4.98
Se-0,1.4,NA
Col-0,1.4,NA
phyB-9,1.4,13.06
Ber-0,0.2,10.15
Br-0,0.2,9.02
Rsch-0,0.2,5.15
Se-0,0.2,NA
Col-0,0.2,NA
phyB-9,0.2,9.65
Ber-0,0.1,NA
Br-0,0.1,10.27
Rsch-0,0.1,7.95
Se-0,0.1,NA
Col-0,0.1,6.05
phyB-9,0.1,11.59
Ber-0,0.01,9.98
Br-0,0.01,10.28
Rsch-0,0.01,7.38
Se-0,0.01,15.31
Col-0,0.01,NA
phyB-9,0.01,10.61
Ber-0,0,11.46
Br-0,0,10.76
Rsch-0,0,9.65
Se-0,0,NA
Col-0,0,10.16
phyB-9,0,12.67
Ber-0,37,NA
Br-0,37,NA
Rsch-0,37,3.5
Se-0,37,7.01
Col-0,37,4.88
phyB-9,37,12.44
Ber-0,17,NA
Br-0,17,6.4
Rsch-0,17,3.77
Se-0,17,NA
Col-0,17,6.38
phyB-9,17,11.85
Ber-0,3.3,NA
Br-0,3.3,9.04
Rsch-0,3.3,4.74
Se-0,3.3,NA
Col-0,3.3,NA
phyB-9,3.3,13.2
Ber-0,1.4,NA
Br-0,1.4,NA
Rsch-0,1.4,4.48
Se-0,1.4,NA
Col-0,1.4,NA
phyB-9,1.4,10.87
Ber-0,0.2,6.66
Br-0,0.2,12.15
Rsch-0,0.2,4.86
Se-0,0.2,NA
Col-0,0.2,NA
phyB-9,0.2,NA
Ber-0,0.1,NA
Br-0,0.1,8.31
Rsch-0,0.1,8.05
Se-0,0.1,NA
Col-0,0.1,12.46
phyB-9,0.1,9.87
Ber-0,0.01,9.52
Br-0,0.01,10
Rsch-0,0.01,9.48
Se-0,0.01,9.95
Col-0,0.01,NA
phyB-9,0.01,11.94
Ber-0,0,11.94
Br-0,0,11.61
Rsch-0,0,10.46
Se-0,0,NA
Col-0,0,11.79
phyB-9,0,12.05
Ber-0,37,NA
Br-0,37,NA
Rsch-0,37,3.37
Se-0,37,8.55
Col-0,37,5.11
phyB-9,37,12.8
Ber-0,17,NA
Br-0,17,7.39
Rsch-0,17,5.26
Se-0,17,NA
Col-0,17,3.59
phyB-9,17,13.23
Ber-0,3.3,NA
Br-0,3.3,7.62
Rsch-0,3.3,4.45
Se-0,3.3,NA
Col-0,3.3,NA
phyB-9,3.3,NA
Ber-0,1.4,NA
Br-0,1.4,NA
Rsch-0,1.4,4.03
Se-0,1.4,NA
Col-0,1.4,NA
phyB-9,1.4,10.25
Ber-0,0.2,NA
Br-0,0.2,9.01
Rsch-0,0.2,6.05
Se-0,0.2,NA
Col-0,0.2,NA
phyB-9,0.2,NA
Ber-0,0.1,NA
Br-0,0.1,11.38
Rsch-0,0.1,6.79
Se-0,0.1,NA
Col-0,0.1,11.67
phyB-9,0.1,10.11
Ber-0,0.01,12.24
Br-0,0.01,10.54
Rsch-0,0.01,9.03
Se-0,0.01,7.88
