genotype,concentration,length
RLD1,25,1.15
RLD1,10,1.34
RLD1,2.5,2.59
RLD1,0.63,3.33
RLD1,0.16,5.49
RLD1,0.04,9.82
RLD1,0.01,11.19
Se-0,0,10.72
Se-0,25,NA
Se-0,10,2.55
Se-0,2.5,2.84
Se-0,0.63,6.27
Se-0,0.16,7.01
Se-0,0.04,10.45
Se-0,0.01,14.17
bzr22-1,0,NA
bzr22-1,25,NA
bzr22-1,10,NA
bzr22-1,2.5,4.27
bzr22-1,0.63,NA
bzr22-1,0.16,NA
bzr22-1,0.04,11.66
bzr22-1,0.01,6.23
Col-0,0,14.09
Col-0,25,NA
Col-0,10,1.49
Col-0,2.5,1.83
Col-0,0.63,4.52
Col-0,0.16,6.57
Col-0,0.04,9.7
Col-0,0.01,9.46
Gie-0,0,10.6
Gie-0,25,NA
Gie-0,10,NA
Gie-0,2.5,NA
Gie-0,0.63,4.46
Gie-0,0.16,7.32
Gie-0,0.04,12.41
Gie-0,0.01,9.04
Nok-0,0,NA
Nok-0,25,NA
Nok-0,10,NA
Nok-0,2.5,NA
Nok-0,0.63,NA
Nok-0,0.16,NA
Nok-0,0.04,NA
Nok-0,0.01,NA
RLD1,0,12.23
RLD1,25,1.21
RLD1,10,1.04
RLD1,2.5,2.2
RLD1,0.63,5.02
RLD1,0.16,6.74
RLD1,0.04,8.62
RLD1,0.01,12.13
Se-0,0,9.23
Se-0,25,NA
Se-0,10,2.44
Se-0,2.5,3.98
Se-0,0.63,6.33
Se-0,0.16,9.78
Se-0,0.04,13.6
Se-0,0.01,6.76
bzr22-1,0,NA
bzr22-1,25,NA
bzr22-1,10,NA
bzr22-1,2.5,NA
bzr22-1,0.63,NA
bzr22-1,0.16,NA
bzr22-1,0.04,11.1
bzr22-1,0.01,6.24
Col-0,0,13.53
Col-0,25,NA
Col-0,10,2.15
Col-0,2.5,2.55
Col-0,0.63,NA
Col-0,0.16,6.27
Col-0,0.04,12.3
Col-0,0.01,10.17
Gie-0,0,9.96
Gie-0,25,NA
Gie-0,10,NA
Gie-0,2.5,NA
Gie-0,0.63,5.62
Gie-0,0.16,7.32
Gie-0,0.04,11.2
Gie-0,0.01,13.64
Nok-0,0,NA
Nok-0,25,NA
Nok-0,10,NA
Nok-0,2.5,NA
Nok-0,0.63,NA
Nok-0,0.16,NA
Nok-0,0.04,NA
Nok-0,0.01,NA
RLD1,0,12.62
RLD1,25,0.83
RLD1,10,1.4
RLD1,2.5,2.53
RLD1,0.63,3.6
RLD1,0.16,7.38
RLD1,0.04,7.47
RLD1,0.01,11.99
Se-0,0,11.93
Se-0,25,NA
Se-0,10,2.38
Se-0,2.5,2.77
Se-0,0.63,6.09
Se-0,0.16,11.29
Se-0,0.04,11.37
Se-0,0.01,10.73
bzr22-1,0,NA
bzr22-1,25,NA
bzr22-1,10,NA
bzr22-1,2.5,NA
bzr22-1,0.63,NA
bzr22-1,0.16,NA
bzr22-1,0.04,NA
bzr22-1,0.01,5.92
Col-0,0,11.51
Col-0,25,NA
Col-0,10,2.1
Col-0,2.5,2.63
Col-0,0.63,NA
Col-0,0.16,6.71
Col-0,0.04,9.12
