genotype,concentration,length
Se-0,0.74,NA
Ge-0,0.74,6
Te-0,0.74,9.49
Mt-0,0.74,7.4
Col-0,0.74,6.38
hy4,0.74,4.86
Se-0,0.12,NA
Ge-0,0.12,9.15
Te-0,0.12,10.02
Mt-0,0.12,10.2
Col-0,0.12,6.07
hy4,0.12,6.87
Se-0,0.09,10.41
Ge-0,0.09,11.3
Te-0,0.09,9.55
Mt-0,0.09,9.06
Col-0,0.09,9.4
hy4,0.09,7.66
Se-0,0,NA
Ge-0,0,15.84
Te-0,0,NA
Mt-0,0,13.1
Col-0,0,9.34
hy4,0,8.64
Se-0,37,5.98
Ge-0,37,6.04
Te-0,37,NA
Mt-0,37,4.58
Col-0,37,3.49
hy4,37,8.08
Se-0,21,NA
Ge-0,21,6.74
Te-0,21,2.56
Mt-0,21,2.22
Col-0,21,NA
hy4,21,9.68
Se-0,3.9,NA
Ge-0,3.9,7.99
Te-0,3.9,4.5
Mt-0,3.9,4.94
Col-0,3.9,3.94
hy4,3.9,6.05
Se-0,0.74,NA
Ge-0,0.74,7.3
Te-0,0.74,7.65
Mt-0,0.74,NA
Col-0,0.74,6.03
hy4,0.74,5.6
Se-0,0.12,NA
Ge-0,0.12,9.18
Te-0,0.12,7.16
Mt-0,0.12,9.71
Col-0,0.12,NA
hy4,0.12,7.08
Se-0,0.09,9.07
Ge-0,0.09,7.66
Te-0,0.09,7.93
Mt-0,0.09,8.13
Col-0,0.09,7.86
hy4,0.09,8.01
Se-0,0,NA
Ge-0,0,15.25
Te-0,0,NA
Mt-0,0,13.09
Col-0,0,7.51
hy4,0,11.34
Se-0,37,NA
Ge-0,37,5.1
Te-0,37,NA
Mt-0,37,3.64
Col-0,37,2.78
hy4,37,7.13
Se-0,21,NA
Ge-0,21,6.18
Te-0,21,2.51
Mt-0,21,2.7
Col-0,21,NA
hy4,21,6.73
Se-0,3.9,NA
Ge-0,3.9,5.63
Te-0,3.9,3.75
Mt-0,3.9,5.06
Col-0,3.9,3.29
hy4,3.9,5.69
Se-0,0.74,NA
Ge-0,0.74,8.36
Te-0,0.74,9.03
Mt-0,0.74,NA
Col-0,0.74,4.8
hy4,0.74,4.39
Se-0,0.12,NA
Ge-0,0.12,9.92
Te-0,0.12,7.91
Mt-0,0.12,8.96
Col-0,0.12,NA
hy4,0.12,7.95
Se-0,0.09,9.54
Ge-0,0.09,9.77
Te-0,0.09,10.35
Mt-0,0.09,9.15
Col-0,0.09,4.91
hy4,0.09,7.73
Se-0,0,NA
Ge-0,0,9.33
Te-0,0,NA
Mt-0,0,9.1
Col-0,0,8.91
hy4,0,9.93
Se-0,37,NA
Ge-0,37,4.84
Te-0,37,NA
Mt-0,37,3.48
Col-0,37,2.19
hy4,37,7.6
Se-0,21,NA
Ge-0,21,5.65
Te-0,21,3.19
Mt-0,21,4
Col-0,21,NA
hy4,21,6.61
Se-0,3.9,NA
Ge-0,3.9,6.3
Te-0,3.9,NA
Mt-0,3.9,4.14
Col-0,3.9,4
hy4,3.9,6.89
Se-0,0.74,NA
Ge-0,0.74,8.91
Te-0,0.74,NA
Mt-0,0.74,NA
Col-0,0.74,4.85
hy4,0.74,6.19
Se-0,0.12,NA
Ge-0,0.12,7.03
Te-0,0.12,NA
Mt-0,0.12,9.24
Col-0,0.12,NA
hy4,0.12,7.79
Se-0,0.09,7.97
Ge-0,0.09,8.32
Te-0,0.09,8.3
Mt-0,0.09,NA
Col-0,0.09,NA
hy4,0.09,6.27
Se-0,0,NA
Ge-0,0,NA
Te-0,0,NA
Mt-0,0,10.65
Col-0,0,9.78
hy4,0,10.06
Se-0,37,NA
Ge-0,37,6.1
Te-0,37,NA
Mt-0,37,4.12
Col-0,37,2.07
hy4,37,8.11
Se-0,21,NA
Ge-0,21,6.05
Te-0,21,2.87
Mt-0,21,3.73
Col-0,21,NA
hy4,21,5.58
Se-0,3.9,NA
Ge-0,3.9,6.81
Te-0,3.9,NA
Mt-0,3.9,3.57
Col-0,3.9,NA
hy4,3.9,6.81
Se-0,0.74,NA
Ge-0,0.74,9.04
Te-0,0.74,NA
Mt-0,0.74,NA
Col-0,0.74,7.95
hy4,0.74,5.96
Se-0,0.12,NA
Ge-0,0.12,7.67
Te-0,0.12,NA
Mt-0,0.12,9.27
Col-0,0.12,NA
hy4,0.12,7.33
Se-0,0.09,10.47
Ge-0,0.09,11.58
Te-0,0.09,9.14
Mt-0,0.09,NA
Col-0,0.09,NA
hy4,0.09,7.71
Se-0,0,NA
Ge-0,0,NA
Te-0,0,NA
Mt-0,0,9
Col-0,0,NA
hy4,0,8.21
Se-0,37,NA
Ge-0,37,5.97
Te-0,37,NA
Mt-0,37,4.32
Col-0,37,NA
hy4,37,6.46
Se-0,21,NA
Ge-0,21,3.91
Te-0,21,2.34
Mt-0,21,4.01
Col-0,21,NA
hy4,21,8.29
Se-0,3.9,NA
Ge-0,3.9,5.87
Te-0,3.9,NA
Mt-0,3.9,4.9
Col-0,3.9,NA
hy4,3.9,5.55
Se-0,0.74,NA
Ge-0,0.74,8.47
Te-0,0.74,NA
Mt-0,0.74,NA
Col-0,0.74,NA
hy4,0.74,4.88
Se-0,0.12,NA
Ge-0,0.12,9.67
Te-0,0.12,NA
Mt-0,0.12,9.86
Col-0,0.12,NA
hy4,0.12,7.15
Se-0,0.09,8.73
Ge-0,0.09,10.42
Te-0,0.09,9.87
Mt-0,0.09,NA
Col-0,0.09,NA
hy4,0.09,7.63
Se-0,0,NA
Ge-0,0,NA
Te-0,0,NA
Mt-0,0,11.17
Col-0,0,NA
hy4,0,7.88
Se-0,37,NA
Ge-0,37,6.25
Te-0,37,NA
Mt-0,37,3.57
Col-0,37,NA
hy4,37,5.92
Se-0,21,NA
Ge-0,21,6.06
Te-0,21,2.48
Mt-0,21,3.99
Col-0,21,NA
hy4,21,8.55
Se-0,3.9,NA
Ge-0,3.9,6.47
Te-0,3.9,NA
Mt-0,3.9,3.9
Col-0,3.9,NA
hy4,3.9,6.08
Se-0,0.74,NA
Ge-0,0.74,5.78
Te-0,0.74,NA
Mt-0,0.74,NA
Col-0,0.74,NA
hy4,0.74,4.56
Se-0,0.12,NA
Ge-0,0.12,9.79
Te-0,0.12,NA
Mt-0,0.12,7.13
Col-0,0.12,NA
hy4,0.12,4.85
Se-0,0.09,11.33
Ge-0,0.09,10.1
Te-0,0.09,10.05
Mt-0,0.09,NA
Col-0,0.09,NA
hy4,0.09,6.31
Se-0,0,NA
Ge-0,0,NA
Te-0,0,NA
Mt-0,0,8.25
Col-0,0,NA
hy4,0,10.71
Se-0,37,NA
Ge-0,37,5.77
Te-0,37,NA
Mt-0,37,3.72
Col-0,37,NA
hy4,37,9.52
Se-0,21,NA
Ge-0,21,6.03
Te-0,21,2.33
Mt-0,21,3.08
Col-0,21,NA
hy4,21,7.42
Se-0,3.9,NA
Ge-0,3.9,5.62
Te-0,3.9,NA
Mt-0,3.9,5.43
Col-0,3.9,NA
hy4,3.9,7.54
Se-0,0.74,NA
Ge-0,0.74,5.89
Te-0,0.74,NA
Mt-0,0.74,NA
Col-0,0.74,NA
hy4,0.74,4.95
Se-0,0.12,NA
Ge-0,0.12,9.19
Te-0,0.12,NA
Mt-0,0.12,8.12
Col-0,0.12,NA
hy4,0.12,9.21
Se-0,0.09,NA
Ge-0,0.09,7.76
Te-0,0.09,NA
Mt-0,0.09,NA
Col-0,0.09,NA
hy4,0.09,5.72
Se-0,0,NA
Ge-0,0,NA
Te-0,0,NA
Mt-0,0,NA
Col-0,0,NA
hy4,0,NA
Se-0,37,NA
Ge-0,37,3.12
Te-0,37,NA
Mt-0,37,2.58
Col-0,37,NA
hy4,37,8.35
Se-0,21,NA
Ge-0,21,5.8
Te-0,21,1.96
Mt-0,21,2.44
Col-0,21,NA
hy4,21,4.9
Se-0,3.9,NA
Ge-0,3.9,NA
Te-0,3.9,NA
Mt-0,3.9,3.16
Col-0,3.9,NA
hy4,3.9,5.34
Se-0,0.74,NA
Ge-0,0.74,9.04
Te-0,0.74,NA
Mt-0,0.74,NA
Col-0,0.74,NA
hy4,0.74,5.18
Se-0,0.12,NA
Ge-0,0.12,8.93
Te-0,0.12,NA
Mt-0,0.12,NA
Col-0,0.12,NA
hy4,0.12,5.72
Se-0,0.09,NA
Ge-0,0.09,8.92
Te-0,0.09,NA
Mt-0,0.09,NA
Col-0,0.09,NA
hy4,0.09,5.48
Se-0,0,NA
Ge-0,0,NA
Te-0,0,NA
Mt-0,0,NA
Col-0,0,NA
hy4,0,NA
Se-0,37,NA
Ge-0,37,5.78
Te-0,37,NA
Mt-0,37,3.81
Col-0,37,NA
hy4,37,7.55
Se-0,21,NA
Ge-0,21,5.43
Te-0,21,2.22
Mt-0,21,NA
Col-0,21,NA
hy4,21,5.88
Se-0,3.9,NA
Ge-0,3.9,NA
Te-0,3.9,NA
Mt-0,3.9,4.74
Col-0,3.9,NA
hy4,3.9,5.82
Se-0,0.74,NA
Ge-0,0.74,7.03
Te-0,0.74,NA
Mt-0,0.74,NA
Col-0,0.74,NA
hy4,0.74,5.88
Se-0,0.12,NA
Ge-0,0.12,9.44
Te-0,0.12,NA
Mt-0,0.12,NA
Col-0,0.12,NA
hy4,0.12,NA
Se-0,0.09,NA
Ge-0,0.09,9.37
Te-0,0.09,NA
Mt-0,0.09,NA
Col-0,0.09,NA
hy4,0.09,NA
Se-0,0,NA
Ge-0,0,NA
Te-0,0,NA
Mt-0,0,NA
Col-0,0,NA
hy4,0,NA
Se-0,37,NA
Ge-0,37,4.6
Te-0,37,NA
Mt-0,37,3.75
Col-0,37,NA
hy4,37,9.21
Se-0,21,NA
Ge-0,21,6.19
Te-0,21,1.76
Mt-0,21,NA
Col-0,21,NA
hy4,21,7.14
Se-0,3.9,NA
Ge-0,3.9,NA
Te-0,3.9,NA
Mt-0,3.9,4.51
Col-0,3.9,NA
hy4,3.9,4.18
Se-0,0.74,NA
Ge-0,0.74,8.64
Te-0,0.74,NA
Mt-0,0.74,NA
Col-0,0.74,NA
hy4,0.74,NA
Se-0,0.12,NA
Ge-0,0.12,9.75
Te-0,0.12,NA
Mt-0,0.12,NA
Col-0,0.12,NA
hy4,0.12,NA
